trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,0,-130.62961744984273,"{0: 18, 1: 10, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-54.601781265840415,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-83.47649076410084,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-102.60578178553924,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-88.46680430475267,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-51.88012334717825,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-38.476711349484574,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-54.63941076522972,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,11,-37.45911873930285,"{0: 8, 1: 4, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-202.69842137529227,"{0: 8, 1: 4, 2: 3, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-236.02167090132085,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 5}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-72.9414278481124,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-4.855689279831887,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-12.238785396285412,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-8.219616510271814,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,11.887494981185302,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-3.5147976562235552,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,2,16.91070923864161,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,3,26.914188802585173,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,32.825914837649016,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-16.66735631173382,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-10.998749628947607,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-18.28341886221316,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-18.166953389474678,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,26.358322211221363,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,30.033525889473047,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,26.821583656003867,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,19,12.763827879132588,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,13,11.10816498088978,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,0,27.06292183781355,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
