trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.26652964233394,"{0: 9, 1: 7, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-42.417047638252164,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9801986733067553}",30,0,-163.71220675577763,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-65.78088369236106,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,0,-108.5529450283247,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.951229424500714}",30,0,-225.19343035530008,"{0: 13, 1: 5, 2: 9, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,16,-22.86127804551148,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,9,-55.54863536855827,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.9231163463866358}",35,0,-223.8372804587061,"{0: 21, 1: 3, 2: 6, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-123.62472771091176,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
