trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.16442539123291,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-199.47147655461194,"{0: 12, 1: 7, 2: 8, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-138.02197585157353,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.93691870835258,"{0: 14, 1: 7, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.79953684455393,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.95320923087772,"{0: 11, 1: 6, 2: 5, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,3,-60.464480277170914,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.8645641614677,"{0: 12, 1: 1, 2: 7, 3: 5, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-2.0463596321044966,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-164.73319726292365,"{0: 20, 1: 4, 2: 9, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.49665242489297,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-131.51676333095622,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-126.74626906655126,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.30023487368058,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",35,0,-120.59745208400781,"{0: 20, 1: 6, 2: 7, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-176.4521668304086,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-168.46848493845235,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.00523159170388,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.3324116343058,"{0: 12, 1: 0, 2: 3, 3: 4, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-96.11303135606242,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-187.98095556602507,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.92502520275931,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-138.24725916647216,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-21.133782676912798,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",35,12,-50.496087419791756,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-70.6893201965725,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-143.10069051048552,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-100.37205210757425,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-48.719380473757646,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.58699619037799,"{0: 12, 1: 5, 2: 5, 3: 3, 4: 0}",0
